Tier,Route,RouteName,Company,WhatTheyDo,Street,Town,State,ZIP,Phone,ITContact,OwnerExec,DoorOpener,EmpEst,RevenueUSD,Founded,ParentOwnership,Website,Notes,ZoomInfoID
A,R2,Rockland: Weymouth St / VFW Dr industrial + Union St center,Briggs Engineering,"Civil and structural engineering, survey","100 Weymouth St, Ste C2",Rockland,MA,02370,(781) 871-6040,,Sean Skorohod (Testing Services President & Director),"CAD and survey data with municipal clients. Lead with backup, DR and file server performance.",80,30145000,1958,,briggsengineering.com,"Same complex as Bendon Gear. Two stops, one lot.",17159799
A,R2,Rockland: Weymouth St / VFW Dr industrial + Union St center,National Coating,Coated fabrics and technical textiles manufacturer,105 Industrial Way,Rockland,MA,02370,(800) 979-9332,,,Production scheduling and quality systems on aging infrastructure is common here. Ask about uptime.,48,13780000,1977,,natcoat.com,,353777346
B,R2,Rockland: Weymouth St / VFW Dr industrial + Union St center,K5 Corporation,Utility and civil construction contractor,"9 Rockview Way, Ste B",Rockland,MA,02370,(781) 982-9229,,Ronald Beaudoin (Chief Executive Officer),Contractors are prime wire fraud targets. Lead with email security and payment fraud protection.,104,24829000,1982,,k5corporation.com,Next door to Commonwealth Building Systems.,344267938
B,R2,Rockland: Weymouth St / VFW Dr industrial + Union St center,George T. Wilkinson,Commercial HVAC service and mechanical contractor,"405 VFW Dr, Ste 1",Rockland,MA,02370,(781) 335-2622,,Geoffrey Wilkinson (Chief Executive Officer),"Dispatch, service software and field devices. Lead with help desk and device management.",68,15840000,1951,,gtwilkinson.com,,48400778
B,R2,Rockland: Weymouth St / VFW Dr industrial + Union St center,Commonwealth Building Systems,Drywall and framing subcontractor,17 Rockview Way,Rockland,MA,02370,(781) 792-0032,,,Estimating and project files plus field crews. Lead with backup and email fraud protection.,60,13390000,2004,,commonwealthbuildingsystems.com,Next door to K5. Pair the stops.,352266165
B,R2,Rockland: Weymouth St / VFW Dr industrial + Union St center,Bendon Gear & Machine,Precision gear and machine shop (defense work),"100 Weymouth St, Ste A1",Rockland,MA,02370,(781) 878-8100,,S. Belezos (Founder and Chief Executive Officer),Defense suppliers face CMMC requirements. Ask how they are handling CMMC and NIST 800-171.,25,6443000,1966,,bendongear.com,ITAR and CMMC pressure is a strong door opener for machine shops.,7965364
B,R2,Rockland: Weymouth St / VFW Dr industrial + Union St center,Alletess Medical Laboratory,Clinical allergy and immunology lab,14 Howard St,Rockland,MA,02370,(800) 225-5404,John Connelly (IT Specialist),Mark McDonough (Chief Executive Officer),CLIA lab with PHI. Lead with HIPAA risk assessment and lab system uptime.,25,7713000,1980,,foodallergy.com,,4066062
C,R2,Rockland: Weymouth St / VFW Dr industrial + Union St center,Rockland Trust (Independent Bank Corp),"Commercial bank, corporate offices",288 Union St,Rockland,MA,02370,(508) 732-7072,Dave Marsh (Interim Chief Information Officer),,Enterprise bank with a full IT department. Networking and events only.,2294,948692000,1907,Independent Bank Corp,rocklandtrust.com,Long shot. Do not cold walk in. Useful for community sponsorship visibility.,59785811
C,R2,Rockland: Weymouth St / VFW Dr industrial + Union St center,"United A/C, Heating & Refrigeration",Commercial HVAC and refrigeration contractor,333 Weymouth St,Rockland,MA,02370,(781) 871-1060,,Thomas Scolaro (President),Field techs on mobile devices and dispatch software. Lead with help desk and device management.,91,2576000,1985,,united-hvac.com,Employee count may include field crews.,353591703
C,R2,Rockland: Weymouth St / VFW Dr industrial + Union St center,Green Environmental,Environmental testing and consulting,"296 Weymouth St, Ste C",Rockland,MA,02370,(617) 479-0550,,Donnie Green (President),Lab data and client reports need retention and backup. Lead with data protection.,30,5078000,1986,,greenenvironmental.com,,29426949
C,R2,Rockland: Weymouth St / VFW Dr industrial + Union St center,OneScience,Scientific staffing and lab services,"222 Weymouth St, Ste 2",Rockland,MA,02370,(508) 930-1270,,,Placement records and client portals. Lead with M365 security and help desk.,30,6242000,1999,,onescience.com,,50397914
C,R2,Rockland: Weymouth St / VFW Dr industrial + Union St center,MIJA,Pressure gauge and sensor manufacturer,"11 Commerce Rd, Ste C",Rockland,MA,02370,(781) 871-5750,,James Sommerio (President),Manufacturer with fire safety OEM customers. Lead with production uptime and email security.,29,5180000,1972,Valcom / Keltron,mija.com,Acquired by Keltron. Confirm who owns IT decisions locally.,51856559
C,R2,Rockland: Weymouth St / VFW Dr industrial + Union St center,RuggedMade,"Log splitters and outdoor power equipment, e-commerce",7 Market St,Rockland,MA,02370,(855) 878-4433,,Jared Malarsky (President),E-commerce ops and warehouse systems. Lead with uptime and endpoint security.,24,6200000,2007,,ruggedmade.com,,363680524
A,N1,Norwell: Accord Park & Longwater Dr (Assinippi),Avedis Zildjian Company,"Cymbal and drumstick maker, global HQ and factory",22 Longwater Dr,Norwell,MA,02061,(781) 871-2200,"James Clifford (Senior Director, Information Technology)","Thomas Young (Senior Vice President, Chief Financial Officer and Treasurer)",400 year old brand with modern e-commerce and a factory floor. Lead with plant uptime and security.,286,32828000,1929,,zildjian.com,"Vic Firth is part of Zildjian, same campus. Iconic account for local proof.",8996860
A,N1,Norwell: Accord Park & Longwater Dr (Assinippi),Radius Financial Group,"Mortgage lender, HQ","600 Longwater Dr, Ste 107",Norwell,MA,02061,(877) 223-4800,Jake Gent (IT Support Specialist),David O'Connor (Chief Technology Officer),"GLBA safeguards and loan file security. Lead with compliance, MDR and endpoint management.",281,11835000,1999,,radiusgrp.com,"Same building as Miniter Group, different suite. Pair the stops.",371618282
A,N1,Norwell: Accord Park & Longwater Dr (Assinippi),NVNA and Hospice (Norwell VNA),"Visiting nurse association and hospice, nonprofit","120 Longwater Dr, Ste 104",Norwell,MA,02061,(781) 659-2342,Samuel Lutz (It Help Desk Technician),Bj Snow (Chief Human Resources Officer),"Clinicians in the field on mobile devices with PHI. Lead with HIPAA, device management and help desk.",262,22797000,1920,,nvna.org,Nonprofit budget cycle. EHR uptime and clinician onboarding speed are real pains.,82658395
A,N1,Norwell: Accord Park & Longwater Dr (Assinippi),DIH Holding US (Hocoma),"Rehab robotics and medtech, US HQ","77 Accord Park Dr, Ste D1",Norwell,MA,02061,(617) 871-2101,"Haile Mitiku (Manager, Information Technology)",Jason Chen (Chief Executive Officer & Chairman),Public medtech company with FDA documentation needs. Lead with compliance ready IT and security.,200,69573000,2021,,dih.com,NASDAQ listed. Hocoma brand runs from same office.,481121880
A,N1,Norwell: Accord Park & Longwater Dr (Assinippi),Miniter Group,Lender placed insurance and insurtech,"600 Longwater Dr, Ste 301",Norwell,MA,02061,(800) 646-4837,Wayne Brantley (Chief Information Officer),Julianne Gilpin (President & Chief Executive Officer),Insurance data plus bank clients means audits. Lead with SOC 2 support and security posture.,120,71702000,1970,,miniter.com,Same building as Radius. Two ICP financial accounts in one stop.,25117527
A,N1,Norwell: Accord Park & Longwater Dr (Assinippi),Snow & Jones,"Plumbing and HVAC wholesale distributor, HQ",85 Accord Park Dr,Norwell,MA,02061,(781) 878-3312,,Danielle Jones (President),"Multi branch distributor on one ERP. Lead with branch connectivity, uptime and ransomware defense.",90,14844000,1952,,snowandjones.com,7 locations run from here.,93767622
A,N1,Norwell: Accord Park & Longwater Dr (Assinippi),Airxchange,Energy recovery ventilation components manufacturer,85 Longwater Dr,Rockland,MA,02370,(781) 871-4816,,Randall Steele (President & Chief Executive Officer),OEM manufacturer with lean office staff. Lead with co-managed IT and production uptime.,70,21533000,1981,,airxchange.com,Rockland address but sits in the Accord Park corridor. Route with Norwell stops.,2935868
B,N1,Norwell: Accord Park & Longwater Dr (Assinippi),Alternatives ABA,ABA therapy provider,76 Accord Park Dr,Norwell,MA,02061,(781) 923-0900,,,"Therapists documenting sessions on tablets. Lead with HIPAA, MDM and fast clinician onboarding.",199,16725000,2015,,alternativesaba.com,ABA groups grow fast and outgrow their IT.,397516336
B,N1,Norwell: Accord Park & Longwater Dr (Assinippi),North River Home Care,Private home care agency,275 Longwater Dr,Norwell,MA,02061,(781) 352-0939,,Heather Kenney (Owner),Caregiver scheduling and PHI on personal devices. Lead with HIPAA and mobile device management.,146,16932000,1975,,northriverhc.com,,347309462
B,N1,Norwell: Accord Park & Longwater Dr (Assinippi),Radio Solutions,Two way radio and wireless communications dealer,55 Accord Park Dr,Norwell,MA,02061,(781) 561-3000,Matthew Dalton (Lead System Engineer),"Admir Surkovic (President, Chief Executive Officer)","Tech adjacent but not an MSP. Lead with M365, security and back office systems.",58,12007000,1998,,radiosolutionsinc.com,Possible referral partner too. They see every public safety and facilities buyer locally.,354245370
B,N1,Norwell: Accord Park & Longwater Dr (Assinippi),TryAngle Foods,Food distribution and provisions,"17 Accord Park Dr, Ste 202",Norwell,MA,02061,(781) 871-6969,,Doug Vonlderstein (Founder),"Orders, routing and invoicing systems. Lead with uptime and email fraud protection.",49,9752000,1977,,tryanglefoods.com,,126845033
B,N1,Norwell: Accord Park & Longwater Dr (Assinippi),"Blue Bear Plumbing, Heating & Air","Residential home services, fast growing",300 Longwater Dr,Norwell,MA,02061,(781) 531-8227,,Christopher Murphy (Owner),"Fast growth home services firm. Lead with scaling help desk, dispatch uptime and onboarding techs.",34,1166000,2017,,bluebearplumbing.com,PE style growth playbook. Headcount likely higher than listed.,451726485
B,N1,Norwell: Accord Park & Longwater Dr (Assinippi),The Driscoll Agency,Specialty insurance agency,"141 Longwater Dr, Ste 203",Norwell,MA,02061,(781) 681-6656,,Sean Driscoll (Owner),Client PII and carrier portals. Lead with email security and compliance basics.,23,7217000,1960,,driscollagency.com,,41815502
C,N1,Norwell: Accord Park & Longwater Dr (Assinippi),Safety-Kleen (Clean Harbors),"Environmental services, corporate offices",42 Longwater Dr,Norwell,MA,02061,(800) 323-5040,"Caroline Johal (Group Manager, Information Technology Enterprise Solution)",,Clean Harbors corporate campus. Enterprise IT. Networking only.,4300,1514886000,1963,Clean Harbors,safety-kleen.com,Long shot. Skip on drop-off routes unless door is open.,92389930
C,N1,Norwell: Accord Park & Longwater Dr (Assinippi),Sullivan Tire,"Tire and auto service chain, corporate HQ",41 Accord Park Dr,Norwell,MA,02061,(781) 982-1550,"Joshua Sweeney (Supervisor, Application & Systems Development)",,Large internal IT exists. Pitch co-managed burst capacity or specific projects only.,1817,242210000,1955,,sullivantire.com,"Family owned, HQ here. Worth relationship building even if no quick win.",112869812
C,N1,Norwell: Accord Park & Longwater Dr (Assinippi),Signet Electronic Systems,Low voltage systems integrator,90 Longwater Dr,Norwell,MA,02061,(781) 871-5888,William Ainslie (Healthcare Systems Engineer),Brad Caron (President),"Integrator, now Pavion owned. Treat as partner or referral source more than prospect.",160,59128000,1974,Pavion,signetgroup.net,"They install AV, security and nurse call. Complementary, not competing. Coffee meeting target.",207552767
A,N2,"Norwell: Rt 53 & Queen Anne's Corner (Washington St, Pond St)",South Shore Skin Center,Dermatology practice and med spa,"75 Washington St, Ste 1",Norwell,MA,02061,(781) 878-6495,,,"EHR uptime and HIPAA. Lead with a HIPAA security risk assessment, which insurers now expect.",86,3100000,1984,,southshoreskincenter.com,"Multi provider practice. Visit mid afternoon, never during morning patient rush.",227410374
B,N2,"Norwell: Rt 53 & Queen Anne's Corner (Washington St, Pond St)",Jack Conway & Co.,"Real estate brokerage, HQ",137 Washington St,Norwell,MA,02061,(888) 735-3574,,Al Becker (Real Estate President & Chief Operating Officer & Agent),22 offices and hundreds of agents on shared systems. Lead with help desk and branch support.,700,374260000,1956,,jackconway.com,Employee figure includes agents. Corporate staff here is much smaller.,17287496
B,N2,"Norwell: Rt 53 & Queen Anne's Corner (Washington St, Pond St)",Southwood at Norwell Nursing Center,Skilled nursing facility,501 Cordwainer Dr,Norwell,MA,02061,(781) 982-7450,,,"EHR, nurse call and HIPAA on a 24x7 clock. Lead with reliable support and security.",124,23544000,1993,,southwoodatnorwell.com,"Visit administrator midweek, mid morning.",98615871
B,N2,"Norwell: Rt 53 & Queen Anne's Corner (Washington St, Pond St)",Proven Behavior Solutions,ABA therapy centers,"80 Washington St, Ste Q57",Norwell,MA,02061,(781) 290-3886,,Kyle Bray (President & Chief Operating Officer),"Growing multi site ABA group. Lead with HIPAA, MDM and opening new sites fast.",79,2726000,2015,,provenaba.com,Queen Anne's Corner plaza. Three targets share the 80 Washington St complex.,397758004
B,N2,"Norwell: Rt 53 & Queen Anne's Corner (Washington St, Pond St)",South Shore Autism Center,ABA therapy centers,45 Pond St,Norwell,MA,02061,(781) 421-6182,,Erin McLoughlin (Chief Executive Officer),"Two growing clinic sites. Lead with HIPAA, Wi-Fi reliability and new hire device turnaround.",67,14297000,2016,,ssautismcenter.com,,403845227
B,N2,"Norwell: Rt 53 & Queen Anne's Corner (Washington St, Pond St)","LMHS, P.C.",CPA firm,"80 Washington St, Bldg S",Norwell,MA,02061,(781) 878-9111,"Randy Toscano (Director, System and Business Partner)",,FTC Safeguards requires CPA firms to maintain a written security plan. Ask who owns theirs.,35,5895000,1987,,lmhspc.com,Same plaza as Proven Behavior and Oral Surgery South.,348042852
B,N2,"Norwell: Rt 53 & Queen Anne's Corner (Washington St, Pond St)",Oral Surgery South,Oral and maxillofacial surgery practice,"80 Washington St, Ste N51",Norwell,MA,02061,(781) 871-1677,,Tony Rubeiz (Partner),Imaging systems and PHI across four sites. Lead with HIPAA and practice uptime.,23,4972000,1981,,oralsurgerysouth.com,4 locations. Same plaza as LMHS and Proven Behavior.,1122062802
C,N2,"Norwell: Rt 53 & Queen Anne's Corner (Washington St, Pond St)",Arbour Counseling Services,Behavioral health clinics,"384 Washington St, Ste 202",Norwell,MA,02061,(781) 871-6550,"Jose Torres (IT Specialist & IT Engineer & Senior Manager & Director, ...)",,UHS corporate IT covers them. Skip unless a local contact invites the conversation.,403,11440000,1994,Universal Health Services,arbourhealth.com,Branch of a national system.,2556714
C,N2,"Norwell: Rt 53 & Queen Anne's Corner (Washington St, Pond St)",Friendship Home,Nonprofit respite and disability services,458 Main St,Norwell,MA,02061,(781) 659-8202,,Wilma Goodhue (Co-Founder),Lean nonprofit. Lead with right sized support and donor data protection.,64,7935000,1999,,friendshiphome.net,,348228861
C,N2,"Norwell: Rt 53 & Queen Anne's Corner (Washington St, Pond St)",Dolomite Bio (Blacktrace US),"Single cell biology instruments, US office",156 Norwell Ave,Norwell,MA,02061,+44 1763 252149,,,Life sciences instruments office. Lead with lab IT support for US operations.,63,15013000,2016,Blacktrace Holdings (UK),dolomite-bio.com,Verify before visiting. US office is small and phone routes to UK.,395765368
C,N2,"Norwell: Rt 53 & Queen Anne's Corner (Washington St, Pond St)",AJAX Jets,Private jet charter,167 Washington St,Norwell,MA,02061,(617) 855-5378,,,High net worth client data and scheduling ops. Lead with security and white glove support.,32,6756000,,,ajaxjets.com,,541625269
A,H1,"Hanover: Rt 53 & Rt 139 (Washington St, Columbia Rd)",Cardinal Cushing Centers,Special education and disability services nonprofit,405 Washington St,Hanover,MA,02339,(781) 826-6371,"Evan Moniz (Manager, Network)",Gina Rosas (Chief Operating Officer),"Student records, HIPAA and FERPA with a lean budget. Lead with co-managed support and security.",410,24761000,1947,,cushingcenters.org,Large campus on Rt 53. Ask for the business office.,30739950
A,H1,"Hanover: Rt 53 & Rt 139 (Washington St, Columbia Rd)",Homestead Mortgage,Mortgage lender,"427 Columbia Rd, Ste 114",Hanover,MA,02339,(781) 924-5482,,Kimmie Miller (Owner),GLBA safeguards and loan officer laptops everywhere. Lead with compliance and device management.,82,5328000,2008,,myhomesteadmortgage.com,Same building as Merrill Associates.,344599909
B,H1,"Hanover: Rt 53 & Rt 139 (Washington St, Columbia Rd)",First Resource Management,Affordable housing property management,2001 Washington St,Hanover,MA,02339,(781) 659-0025,,Gordon Pulsifer (President),"HUD compliance paperwork and resident data across sites. Lead with secure, supported systems.",55,14197000,1985,,firstresourcecompanies.com,Across the street from Jannell Ford.,359188055
B,H1,"Hanover: Rt 53 & Rt 139 (Washington St, Columbia Rd)",Wozny/Barbar & Associates,MEP engineering firm,1076 Washington St,Hanover,MA,02339,(781) 826-4144,,Zbigniew Wozny (President),"Revit and CAD workstations. Lead with performance, backup and project deadlines.",34,6880000,1988,,wbaengineers.com,,353985624
B,H1,"Hanover: Rt 53 & Rt 139 (Washington St, Columbia Rd)",Merrill Associates,Civil engineering and land surveying,427 Columbia Rd,Hanover,MA,02339,(781) 826-9200,,Robert Merrill (President),Survey data and CAD files. Lead with backup and file access speed.,27,1517000,,,merrillinc.com,Same building as Homestead Mortgage. Pair the stops.,343333439
C,H1,"Hanover: Rt 53 & Rt 139 (Washington St, Columbia Rd)",McGee Toyota of Hanover,"Toyota dealership, McGee Automotive Family flagship",860 Washington St,Hanover,MA,02339,(781) 829-0343,,,FTC Safeguards Rule applies to dealers. Ask who runs their safeguards program.,701,19784000,1974,McGee Automotive Family,mcgeetoyota.com,Group wide employee count. Group may centralize IT. GM can still open the door.,56511689
C,H1,"Hanover: Rt 53 & Rt 139 (Washington St, Columbia Rd)",Planet Subaru,Independent Subaru dealership,596 Washington St,Hanover,MA,02339,(781) 826-4444,,"Marcel Choiniere (General Manager, Fixed Operations)",Independent dealer subject to FTC Safeguards. Lead with a safeguards gap review.,71,18870000,1998,,planetsubaru.com,"Independently owned, decision maker on site. Best dealer target on the list.",76400508
C,H1,"Hanover: Rt 53 & Rt 139 (Washington St, Columbia Rd)",Jannell Ford,Independent Ford dealership,2000 Washington St,Hanover,MA,02339,(781) 982-4500,,Joseph Clapp (Owner),Family owned dealer. FTC Safeguards and DMS uptime are the openers.,21,13683000,1921,,jannellford.com,Employee count understated. Real headcount likely 80 plus.,1128547688
A,H2,"West Hanover industrial (Winter St, Circuit St, King St)",P.A. Landers,"Site development and paving contractor, HQ",351 Winter St,Hanover,MA,02339,(781) 826-8818,"Anthony Emma (Director, Information Technology)",Joseph Durant (Chief Operating Officer),"Big contractor, prime wire fraud target. Lead with email security and estimating uptime.",280,66695000,1978,,palanders.com,One of the biggest private employers based in Hanover.,80937600
A,H2,"West Hanover industrial (Winter St, Circuit St, King St)",Buckley Associates,"HVAC equipment distributor and rep, HQ",385 King St,Hanover,MA,02339,(781) 878-5000,"Devin Melo (Manager, Information Technology)",Robert Buckley (Founder),"12 locations and near 100M revenue on one ERP. Lead with uptime, security and branch support.",135,99989000,1970,,buckleyonline.com,Biggest revenue target in Hanover on this list.,16239075
A,H2,"West Hanover industrial (Winter St, Circuit St, King St)",SRC Medical,Medical device components manufacturer,263 Winter St,Hanover,MA,02339,(781) 826-9100,Lisa Raasch (Chief Information Officer),Roy Tinkham (President),FDA documentation and quality systems. Lead with compliance ready IT and uptime.,102,18379000,1972,,srcmedical.com,Medical manufacturing is a priority vertical.,193593434
A,H2,"West Hanover industrial (Winter St, Circuit St, King St)",Hapco,Epoxy and urethane polymer manufacturer,353 Circuit St,Hanover,MA,02339,(781) 826-8801,Daniel McClelland (System Administrator),Fred DeSimone (General Manager),Formulations IP and production systems. Lead with security and backup.,76,18177000,1969,,hapcoincorporated.com,Phone corrected from web. ZoomInfo listed an out of state number.,50678002
A,H2,"West Hanover industrial (Winter St, Circuit St, King St)",Gem Gravure,"Wire marking inks and printing systems, HQ",112 School St,Hanover,MA,02339,(781) 878-0456,Matt Phung (IT Administrator),Joseph Gemelli (Founder),Third generation manufacturer with global customers. Lead with security and production uptime.,73,18507000,1952,,gemgravure.com,"West Hanover village, near Circuit St loop.",352771180
A,H2,"West Hanover industrial (Winter St, Circuit St, King St)",Cri-Tech (Daikin),Specialty rubber compounds manufacturer,85 Winter St,Hanover,MA,02339,(781) 826-5600,"Richard Park (Manager, Business Systems)",,Daikin owned but locally run plant. Lead with co-managed support for site systems.,54,6341000,1977,Daikin Industries,critechinc.com,Corporate IT may exist at Daikin America. Local plant manager still feels the pain.,32690370
B,H2,"West Hanover industrial (Winter St, Circuit St, King St)",A. Murphy Inc,Site work and utility contractor,35 Hanover St,Hanover,MA,02339,(781) 826-0222,,Michael Murphy (Owner and Operator),Field crews and office estimating. Lead with email fraud protection and file backup.,127,12799000,1980,,amurphy.com,,6295262
B,H2,"West Hanover industrial (Winter St, Circuit St, King St)",Eyesaver International,Safety eyewear manufacturer,"348 Circuit St, Ste 2",Hanover,MA,02339,(781) 829-0808,,Stephen George (President),Product and order systems. Lead with M365 and endpoint management.,42,8590000,1990,,eyesaverinternational.com,Same building as Sturtevant. Pair the stops.,43125676
B,H2,"West Hanover industrial (Winter St, Circuit St, King St)",Sturtevant,Micronizing and powder processing equipment,"348 Circuit St, Ste 1",Hanover,MA,02339,(781) 829-6501,,Sturt English (President & Chief Executive Officer),140 year old machine builder. Lead with modernizing office IT without disrupting the shop.,36,4909000,1883,,sturtevantinc.com,Same building as Eyesaver International.,92094650
B,H2,"West Hanover industrial (Winter St, Circuit St, King St)",Lubrite Technologies,Self lubricating bearings manufacturer,"145 Webster St, Ste J",Hanover,MA,02339,(781) 871-1420,,,Engineering drawings and customer specs. Lead with backup and secure file sharing.,28,9315000,2011,,lubritetechnologies.com,,122486882
C,H2,"West Hanover industrial (Winter St, Circuit St, King St)",South Shore YMCA (Emilson Branch / Admin),Nonprofit YMCA association,75 Mill St,Hanover,MA,02339,(781) 829-8585,,,Multi branch nonprofit with member data and childcare compliance. Lead with co-managed support.,1262,36226000,,,ssymca.org,Employee count spans all branches and seasonal camp staff.,35750136
C,H2,"West Hanover industrial (Winter St, Circuit St, King St)",Hingham Moving Services,Moving and storage company,285 Circuit St,Hanover,MA,02339,(617) 319-7027,,,"Scheduling, dispatch and customer data. Lead with simple reliable IT and phones.",72,3145000,1982,,hinghammoving.com,,405942027
C,H2,"West Hanover industrial (Winter St, Circuit St, King St)",Burgopak USA,"Packaging design firm, US office","24 Rockland St, Ste 5",Hanover,MA,02339,+44 20 7089 1950,,,Small US office of a UK firm. Lead with being their local IT presence.,30,8271000,,Burgopak (UK),burgopak.com,Verify before visiting. Phone routes to UK.,11619277
A,P1,"Pembroke: Corporate Park, Riverside Dr, Schoosett St",Royal Health Group,"Family owned nursing home group, HQ",42 Winter St,Pembroke,MA,02359,(781) 826-2393,"Jimmy Noel (Manager, Information Technology)",Pamela Jones (Chief Financial Officer),"12 facilities of EHR, nurse call and HIPAA. Lead with multi site support and security.",755,34941000,1998,,royalhealthgroup.com,HQ decides for all facilities. Employee count spans the group.,44024049
A,P1,"Pembroke: Corporate Park, Riverside Dr, Schoosett St",FMC Ice Sports,"Ice rink management company, HQ","100 Schoosett St, Bldg 3",Pembroke,MA,02359,(888) 747-5283,,,"25 rinks on POS, scheduling and payment systems. Lead with multi site support and uptime.",226,54426000,1992,,fmcicesports.com,HQ office decides for all sites. Strong multi site play.,40865749
A,P1,"Pembroke: Corporate Park, Riverside Dr, Schoosett St",Thayer Scale,"Industrial weighing and feeding equipment, HQ",91 Schoosett St,Pembroke,MA,02359,(855) 784-2937,Chris Geer (Information Technology Consultant),Frank Hyer (Chairman & Chief Executive Officer),"Engineering IP and global customers. Lead with security, backup and shop floor uptime.",82,23837000,1949,,thayerscale.com,Classic ICP manufacturer.,38076611
A,P1,"Pembroke: Corporate Park, Riverside Dr, Schoosett St",Nelco Products,"Cable ties and wire management, distribution HQ",22 Riverside Dr,Pembroke,MA,02359,(800) 346-3526,"Patrick Wong (Director, Information Technology & Materials)",Miriam Nelson (Owner),"E-commerce and warehouse ops. Lead with uptime, EDI reliability and security.",81,37741000,1984,,nelcoproducts.com,,71779517
